Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1101.peg.1044	0	0	0.1334210556765144	0	-0.05803298338471058
fig.623.1101.peg.1181	0	0.0037677777863701755	0	0	0
fig.623.1101.peg.1256	0	0.015337558683250407	0	0	0
fig.623.1101.peg.1272	0	0	0	-0.022448088114084063	0
fig.623.1101.peg.1278	0	0	0	0.050114701474160396	0
fig.623.1101.peg.1328	0	0	0	0.08907114957651989	0
fig.623.1101.peg.1476	0	0	0	0	0.02100080534087114
fig.623.1101.peg.1545	0	0.15466240652616603	0	0	0
fig.623.1101.peg.1596	0	0	0	0.01931202450963864	0
fig.623.1101.peg.1971	0	0	0	-0.023684833390156198	0
fig.623.1101.peg.2046	0	0	-6.811828053466478e-4	0	0
fig.623.1101.peg.2272	0.022141879518277577	0	0	0	0
fig.623.1101.peg.234	0.11220744243611706	0	0	0	0
fig.623.1101.peg.2351	0	0	0	0.020848196279289	0
fig.623.1101.peg.2352	0	0.00713398224896995	0	0	0
fig.623.1101.peg.2357	0	0	0	0.01210972864003161	0
fig.623.1101.peg.2358	0	0	0	0.01145316471503725	0
fig.623.1101.peg.2359	0	0	0	0.010905924916355147	0
fig.623.1101.peg.2392	0	0	0	0	0.0885349627995532
fig.623.1101.peg.24	0	0	0	0	-0.0627285265940979
fig.623.1101.peg.2534	0	0	0.029879115172118716	0	0
fig.623.1101.peg.2778	0	0	0	-0.02180761044579801	0
fig.623.1101.peg.280	0	0	0	-9.646057103490125e-4	0
fig.623.1101.peg.2921	0	0	0	0	-0.03380450049357792
fig.623.1101.peg.2961	0	0	0	-0.022132160756306266	0
fig.623.1101.peg.2989	0	0	0	-0.029938404197837325	0
fig.623.1101.peg.3053	0	0.026644456739528546	0	0	0
fig.623.1101.peg.3099	0.022399446517721307	0	0	0	0
fig.623.1101.peg.3139	0	0	0	-0.1453970915554077	0
fig.623.1101.peg.3204	0	-0.011987333598953213	0	0	0.05220926659970171
fig.623.1101.peg.3293	0	0.09332664187928534	0	0	0
fig.623.1101.peg.3391	0	0	0	-0.04902257194391693	0
fig.623.1101.peg.3625	-2.2424952674023432e-4	0	0	0	0
fig.623.1101.peg.3626	-4.593957508118292e-4	0	0	0	0
fig.623.1101.peg.3627	-4.887084117226866e-4	0	0	0	0
fig.623.1101.peg.3628	-4.425675499126784e-4	0	0	0	0
fig.623.1101.peg.3630	-4.102073908314344e-4	0	0	0	0
fig.623.1101.peg.3631	-3.907213693737628e-4	0	0	0	0
fig.623.1101.peg.3632	-3.7143804139686757e-4	0	0	0	0
fig.623.1101.peg.3633	-3.4756819019544867e-4	0	0	0	0
fig.623.1101.peg.3634	-3.196405504684866e-4	0	0	0	0
fig.623.1101.peg.3635	-2.890107213659292e-4	0	0	0	0
fig.623.1101.peg.3636	-0.0029356423228330017	0	0	0	0
fig.623.1101.peg.3637	-5.05065803738849e-4	0	0	0	0
fig.623.1101.peg.3638	-5.031912427514857e-4	0	0	0	0
fig.623.1101.peg.3639	-3.997682476706354e-4	0	0	0	0
fig.623.1101.peg.3640	-3.5040392402651616e-4	0	0	0	0
fig.623.1101.peg.3641	-3.408364577446274e-4	0	0	0	0
fig.623.1101.peg.3642	-3.3380688603975147e-4	0	0	0	0
fig.623.1101.peg.3644	-3.154657789196452e-4	0	0	0	0
fig.623.1101.peg.3645	-2.873794795164103e-4	0	0	0	0
fig.623.1101.peg.3646	-2.543634948491646e-4	0	0	0	0
fig.623.1101.peg.3647	-2.198003721684146e-4	0	0	0	0
fig.623.1101.peg.3648	-1.8548191520836068e-4	0	0	0	0
fig.623.1101.peg.3649	-1.5250076381386596e-4	0	0	0	0
fig.623.1101.peg.3650	-1.2180406601331688e-4	0	0	0	0
fig.623.1101.peg.3754	0	0.004974897662350806	0	0	0
fig.623.1101.peg.3970	0	0	0	0	0.09208713683515711
fig.623.1101.peg.4050	0.0103889776331741	0	0	0	0
fig.623.1101.peg.4201	0	0	-0.007545625905010645	0	0
fig.623.1101.peg.4203	0	0	-0.008312507728033882	0	0
fig.623.1101.peg.4451	-0.010970107065929338	0	0	0	0
fig.623.1101.peg.4468	0	0	0	0	0.05059545719535865
fig.623.1101.peg.4678	0.02337716250115097	0	0	0	0
fig.623.1101.peg.4773	0	-0.04121030930326735	0	0	0
fig.623.1101.peg.489	0	0.02655683376864337	0	0	0
fig.623.1101.peg.4982	0	0	2.6829716835380005e-4	0	0
fig.623.1101.peg.4988	0	0	0.08479050866222425	0	0
fig.623.1101.peg.4994	0	0	0.017921110450354577	0	0
fig.623.1101.peg.4995	0	0	0	0	0.031843946184362155
fig.623.1101.peg.4997	0	0	0.0020742302559651773	0	0
fig.623.1101.peg.4999	0	0	0.04081865788740965	0	0
fig.623.1101.peg.5001	0	0	0	0	0.14296578807608468
fig.623.1101.peg.5006	0	0	0	0	0.020774840511206438
fig.623.1101.peg.5007	0	0	0	0	0.020878738481208005
fig.623.1101.peg.5008	0	0	0	0	0.020895362964467677
fig.623.1101.peg.5011	0	0	0.029477713741884473	0	0.05976843392757997
fig.623.1101.peg.5012	0	0	0.028906185993540202	0	0.05985888880935393
fig.623.1101.peg.5014	0	0	0.09202857666440635	0	0.10578823501943808
fig.623.1101.peg.5016	0	0	0.032656291899168244	0	0.07266371470736073
fig.623.1101.peg.5017	0	0	0	0	0.02344484195654256
fig.623.1101.peg.5018	-0.0027372852797663653	0	0	0	0
fig.623.1101.peg.5019	0	0	0.03269495443709506	0	0.07116695552538355
fig.623.1101.peg.5024	-0.21371044559530852	0	0	0	0
fig.623.1101.peg.5034	0	0	0.04832816304716922	0	0
fig.623.1101.peg.5036	-0.42936103915880497	0	0	0	0
fig.623.1101.peg.5040	0	0	0	0	0.011966982595923803
fig.623.1101.peg.5043	0	0	0.008250282644588379	0	0
fig.623.1101.peg.5044	0	0	0.01561819983701874	-0.008106314352179702	0
fig.623.1101.peg.5046	0	0	0.08388917890838485	0	0
fig.623.1101.peg.5047	0	0	0.08460757093081459	0	0
fig.623.1101.peg.5050	0	0	0.08475984021441638	0	0
fig.623.1101.peg.5054	0	0	0.017181478639345438	-0.009059594122374306	0
fig.623.1101.peg.5057	0	0	0.016834780214839543	-0.009652733999824777	0
fig.623.1101.peg.5059	0	0	0.016672722442270162	-0.00994209822379936	0
fig.623.1101.peg.5061	0	0	0.0837726097742807	0	0
fig.623.1101.peg.5062	0	0	0.016815106495347502	-0.010037088583002134	0
fig.623.1101.peg.5063	0	0	0.016786431706415354	-0.01005586957093678	0
fig.623.1101.peg.5064	0	0	0.016723516697449675	-0.010068348112040264	0
fig.623.1101.peg.5065	0	0	0.016651344078816684	-0.010094894975506537	0
fig.623.1101.peg.5066	0	0	0.016579914387133132	-0.010130259697485315	0
fig.623.1101.peg.5067	0	0	0.01651100823307862	-0.010164172379008062	0
fig.623.1101.peg.5068	0	0	0.016444164047249788	-0.010190587286389345	0
fig.623.1101.peg.5069	0	0	0.016379102575200692	-0.010208697088733391	0
fig.623.1101.peg.5070	0	0	0.10139500008528399	-0.007148900640373784	0
fig.623.1101.peg.5072	0	0	0.01633792125197473	-0.010488047604584197	0
fig.623.1101.peg.5073	0	0	0.016328989727898435	-0.010473395720319167	0
fig.623.1101.peg.5075	0	0	0.040360000137853895	0	0
fig.623.1101.peg.5077	0	0	0	-0.0022527091866623634	0
fig.623.1101.peg.5078	0	0	0	-0.0018107346165839053	0
fig.623.1101.peg.5079	0	0	0	-0.0015665599401248932	0
fig.623.1101.peg.5081	0	0	0.04039392117354533	0	0
fig.623.1101.peg.5082	0	0	0.04035070888336477	0	0
fig.623.1101.peg.5083	0	0	0.04027136525205127	0	0
fig.623.1101.peg.5124	0.014003130946723709	0	0	-0.0017679089205507549	0
fig.623.1101.peg.5141	0	0.0303769516318489	0	0	0
fig.623.1101.peg.5160	0	-0.08155966393773381	0	0	0
fig.623.1101.peg.518	-0.0998322099288145	0	0	0	0
fig.623.1101.peg.52	0	0	8.188001787758659e-4	0	0
fig.623.1101.peg.5204	0	0	0.04244387438422715	0	0
fig.623.1101.peg.5220	0	0.004399746444212111	0	0	0
fig.623.1101.peg.5284	0	-0.03415025082795396	0	0	0
fig.623.1101.peg.5287	0	0	0.026586227098093267	0	0
fig.623.1101.peg.53	0	0	0.08392306637470778	0	0
fig.623.1101.peg.576	0	0.004549222570632028	0	0	0
fig.623.1101.peg.66	0	0	0.06931617420336537	0	0
fig.623.1101.peg.669	0.005899601894100323	0	0	0	0
fig.623.1101.peg.78	0	0	0	0	-0.012641325692340956
