Variable	Importance	Sign
group_8757	0.5892926920059582	NEG
group_7238	0.4727263318692314	POS
group_5982	0.39065086782971586	NEG
group_3252	0.36635395816142224	NEG
group_8717	0.3599996836064982	NEG
group_7511	0.3594646279770049	NEG
group_9314	0.35294803315657214	NEG
group_4986	0.2885400251871916	NEG
group_5552	0.28327541461709993	NEG
group_10053	0.2781749069851312	NEG
group_8708	0.27393314238433714	NEG
group_3995	0.2537378495884618	POS
group_5678	0.23932208320795884	NEG
group_8028	0.22847352477471056	NEG
group_6310	0.15158460357787185	NEG
group_8754	0.13905871623545607	NEG
group_5604	0.13002910763314052	NEG
group_5430	0.11763106913609704	NEG
group_3302	0.11342268443527684	POS
group_193	0.11315997424596369	POS
group_4521	0.1066872253926316	POS
group_4551	0.10550029317763708	POS
group_6208	0.09189847586882625	POS
group_6506	0.08994195175045214	NEG
group_8864	0.08737067234413488	NEG
group_1921	0.07353945629817694	POS
group_4627	0.07237201022605151	NEG
group_3054	0.07233415862898494	POS
group_3077	0.0714000360194651	POS
group_3247	0.07089090725212296	POS
group_39	0.07038633078653836	POS
group_434	0.06670644387714082	POS
group_790	0.06517549718918773	POS
group_5827	0.0640263605278728	POS
group_1467	0.06346497797851887	POS
group_720	0.06265335458653354	POS
group_1752	0.06133059924578286	POS
group_972	0.06096566642618293	POS
group_8750	0.06069847713843925	NEG
group_3594	0.05972319423214606	POS
group_8150	0.0585849354157672	NEG
group_4625	0.05847344155588845	POS
group_8715	0.058290928076112185	NEG
group_6008	0.05759110491773653	POS
group_2845	0.05717708616751339	NEG
group_7528	0.05654380283646288	NEG
group_7649	0.05469675806707924	POS
group_10009	0.032872877797014276	NEG
group_10008	0.032464227005326696	NEG
group_10010	0.032039829403485875	NEG
group_10011	0.031266544398061605	NEG
group_10012	0.030561553982131413	NEG
group_8656	0.030365475013454598	NEG
group_10015	0.029834545696625313	NEG
group_10017	0.029062617263702607	NEG
group_767	0.028747772456801407	NEG
group_10018	0.028267289645660817	NEG
group_2474	0.02814700859955782	NEG
group_9254	0.028116942280549624	NEG
group_264	0.0274959817805168	NEG
group_10019	0.027481026384745214	NEG
group_6169	0.027099992062407697	NEG
group_3562	0.027071605863382506	NEG
group_5963	0.026769634325131002	NEG
group_10020	0.02672817516677362	NEG
group_3587	0.02655573993713664	NEG
group_10021	0.02601941775509993	NEG
group_3826	0.025893321682638044	NEG
group_6322	0.023198410872462532	NEG
group_4020	0.023166712469201264	NEG
group_4190	0.022612205437953364	NEG
group_4234	0.022107022416163483	NEG
group_4288	0.02162784967832994	NEG
group_8735	0.021318826281408014	NEG
group_8738	0.020855700875705607	NEG
group_1489	0.02016880013644273	NEG
group_2152	0.02003512492081396	NEG
group_8751	0.019930239756155207	NEG
group_2218	0.018945779021651572	NEG
group_2501	0.018749364577250613	NEG
group_2684	0.01780990596676441	NEG
group_2723	0.016836200861011865	NEG
group_2808	0.015918377318598183	NEG
group_3545	0.013326958000100288	NEG
group_5449	0.012974643685897215	NEG
group_7916	0.01273556239070992	NEG
group_3546	0.012317045612723676	NEG
group_3604	0.011577313991880729	NEG
group_5643	0.010946351577790609	NEG
group_10044	0.009337406688398584	NEG
group_6051	0.008998684025462772	NEG
group_8597	0.008978944971076009	NEG
group_6277	0.008472542130537603	NEG
group_6135	0.008468055562048993	NEG
group_4953	0.007421113845178397	NEG
group_10035	0.006935615439593442	NEG
group_4074	0.006839350070294233	NEG
group_1407	0.006420266657132018	NEG
group_4092	0.006390714773640591	NEG
group_6444	0.0062062118305804045	NEG
group_4342	0.006030269662788648	NEG
group_4420	0.005718263008224486	NEG
group_4477	0.005440516640840937	NEG
group_10036	0.005347865223649864	NEG
group_6004	0.005049322819009176	NEG
group_1978	0.005021112433285706	POS
group_1654	0.004647854987355371	POS
group_6596	0.004414474158496178	POS
group_7200	0.004145955349386868	POS
group_2792	0.004013176711258863	POS
group_10669	0.0033992783355847067	NEG
group_4532	6.627038865316637e-4	NEG
group_4261	9.915414073017046e-5	NEG
