Variable	Importance	Sign
group_8463	2.4072444621087685	NEG
group_8464	0.6821135934238753	NEG
group_8372	0.2501428768396309	NEG
group_6726	0.1451637757648344	NEG
group_8237	0.13337578326423669	NEG
group_10004	0.11422517778777681	NEG
group_4714	0.11071755164871755	POS
group_10005	0.1100049933932436	NEG
group_10006	0.10385410565101706	NEG
group_10007	0.09797748990769053	NEG
group_10384	0.0929586816795945	NEG
group_3902	0.09269615281506495	NEG
group_5276	0.0887736269875517	NEG
group_10385	0.08671600117256724	NEG
group_9752	0.08428079142647736	NEG
group_10386	0.07967204909613769	NEG
group_6877	0.06142776734619601	NEG
group_1467	0.059242661590851134	POS
group_1752	0.05581870593450754	POS
group_9155	0.05573308187912793	POS
group_4377	0.05251243320661212	NEG
group_5220	0.04884791749667095	POS
group_7649	0.04630642995860078	POS
group_2078	0.04553615019694737	POS
group_6008	0.04548646751371591	POS
group_3959	0.045351365629958666	POS
group_4337	0.04363062817123033	POS
group_8492	0.04212700491108277	NEG
group_3594	0.04211072850043297	POS
group_6441	0.04179168491707691	POS
group_4625	0.037570542920358524	POS
group_4391	0.031223834850388255	POS
group_5000	0.023885433528395686	POS
group_6258	0.023776218504756655	POS
group_5975	0.02375020862843056	NEG
group_5802	0.023167232040221544	POS
group_5178	0.02223113926128437	POS
group_5354	0.021066549982377746	POS
group_9078	0.019940280661187863	POS
group_10256	0.019143081803612717	NEG
group_10254	0.01889737611751401	NEG
group_9080	0.018375275748492143	POS
group_10257	0.01815992455367204	NEG
group_9095	0.017322508507558104	POS
group_10258	0.017144792475849845	NEG
group_9097	0.01638854620296645	POS
group_10259	0.016104746900135546	NEG
group_9101	0.015545110216822667	POS
group_10260	0.015054845923970401	NEG
group_9107	0.014784656402083284	POS
group_9108	0.014100711816847626	POS
group_10261	0.014026297249114267	NEG
group_9109	0.013485463107936382	POS
group_10262	0.013047970317384812	NEG
group_9112	0.012929433018093538	POS
group_9122	0.012422050951768435	POS
group_9075	0.012367693288960245	POS
group_10263	0.01213848873658927	NEG
group_9123	0.01195259719842634	POS
group_9157	0.011884522542447656	POS
group_9130	0.011511099202693173	POS
group_10264	0.011305502909442147	NEG
group_9131	0.011088974961743868	POS
group_9158	0.01090488770589857	POS
group_9132	0.01067940454758909	POS
group_10265	0.010548229307967543	NEG
group_9159	0.010304904817049805	POS
group_9136	0.010277477267507846	POS
group_9137	0.009880166226211988	POS
group_7328	0.009782615418198632	POS
group_9162	0.009735037408890578	POS
group_9154	0.009674876083867813	POS
group_9143	0.00948618391519267	POS
group_7491	0.009280230719210464	POS
group_9163	0.009218161589856885	POS
group_9147	0.009095778219618692	POS
group_9165	0.00876625006466821	POS
group_9148	0.008710520076317738	POS
group_7492	0.008531201096050614	POS
group_9170	0.008381726431061587	POS
group_9150	0.00833310569532285	POS
group_9171	0.008060487184357455	POS
group_9172	0.0077948919915449425	POS
group_7527	0.007752570887478262	POS
group_9176	0.007575638887762189	POS
group_9178	0.00739276436771045	POS
group_9182	0.007236294627987696	POS
group_9187	0.007096782554503697	POS
group_1525	0.007094138010207003	NEG
group_7618	0.007010964498063167	NEG
group_9189	0.006965763493437953	POS
group_1592	0.00684840915471225	NEG
group_9190	0.006836105236769714	POS
group_9191	0.0067022212338883405	POS
group_9194	0.006560128590509931	POS
group_1769	0.006533030574079413	NEG
group_9196	0.006407362306922383	POS
group_7965	0.006356919992723074	NEG
group_1822	0.00616629841858203	NEG
group_1823	0.005782177001652545	NEG
group_8038	0.005740527791571538	NEG
group_1875	0.005383200128367007	POS
group_8101	0.005193524415546172	NEG
group_200	0.004971757930650987	NEG
group_8112	0.004712506190804289	NEG
group_10266	0.004411357273209371	NEG
group_10267	0.0038438168059437353	NEG
group_10268	0.003387847302770815	NEG
group_10269	0.002993283476127157	NEG
group_5177	0.002962420212469456	POS
group_2176	0.0029166702679952953	NEG
group_5209	0.002843463298534529	NEG
group_5280	0.0026571162141309215	NEG
group_10270	0.0026564643513591036	NEG
group_2209	0.0025637233617558843	NEG
group_5282	0.002368233990564448	POS
group_2302	0.0022688382523978453	NEG
group_2319	0.0019960846534649206	NEG
group_2332	0.0017402311704385763	NEG
group_2334	0.0014980192971894943	NEG
group_2429	0.0012689285041785994	NEG
group_2439	0.0010547237790058837	NEG
group_10271	9.525568081207438e-4	NEG
group_2509	8.584483314471176e-4	NEG
group_10272	7.826037991646914e-4	NEG
group_3574	7.579197031135637e-4	NEG
group_10273	6.55848569278336e-4	NEG
group_5377	6.500230266520004e-4	NEG
group_3626	5.603678614668922e-4	NEG
group_10274	5.518534475742175e-4	NEG
group_5500	5.074890963889969e-4	NEG
group_10275	4.6530499072720095e-4	NEG
group_5917	4.577416800613786e-4	NEG
group_2535	4.35257916684729e-4	NEG
group_3645	4.0884703165633554e-4	NEG
group_10276	3.916441223846581e-4	NEG
group_2563	3.448580073522401e-4	POS
group_370	3.0348355045846625e-4	NEG
group_2740	2.7146320602572816e-4	NEG
group_3856	2.1847126879967854e-4	NEG
group_2776	2.1051674131588216e-4	NEG
group_9528	1.9784591306448683e-4	NEG
group_8278	1.9779493344735324e-4	NEG
group_3857	1.5074581051787472e-4	NEG
group_6264	1.3435085358818824e-4	NEG
group_10277	1.314945612138242e-4	NEG
group_4051	1.2654165508945028e-4	NEG
group_3903	1.2195439129320834e-4	NEG
group_6339	1.0495920989584851e-4	NEG
group_10278	1.0222912825865948e-4	NEG
group_4108	9.75624094679548e-5	NEG
group_3904	8.283340456292893e-5	NEG
group_6355	8.073455379262869e-5	NEG
group_10279	8.062827036675568e-5	NEG
group_4109	7.535991318593751e-5	NEG
group_10280	6.341291707534452e-5	NEG
group_6369	6.183673397350454e-5	NEG
group_4263	5.8490265032273354e-5	NEG
group_291	5.727359979529074e-5	NEG
group_10281	4.9668040787560876e-5	NEG
group_10282	3.863542118784787e-5	NEG
group_3000	3.7413243003738106e-5	NEG
group_10283	2.975390585499748e-5	NEG
group_10284	2.2616659136630915e-5	NEG
group_10286	1.8740857820477537e-5	NEG
group_10285	1.692693604925461e-5	NEG
group_3066	7.707263894177785e-6	POS
group_8283	5.214147501172478e-6	NEG
group_9530	5.067899446173508e-6	NEG
group_10287	3.1811969938433286e-6	NEG
group_10288	2.955716887309024e-6	NEG
group_315	2.0146639623716813e-6	NEG
group_9882	1.614160202020236e-6	NEG
group_10289	9.883802301904513e-7	NEG
group_3238	5.265148859808366e-7	NEG
group_8284	1.204779266800236e-7	NEG
group_9531	1.1089410409623241e-7	NEG
group_10290	3.055139360235027e-8	NEG
group_3268	1.6164634538581653e-8	NEG
group_8286	2.6977657113334482e-9	NEG
group_9542	2.2415298049121717e-9	NEG
group_10291	7.196896947463774e-10	NEG
group_3326	3.798919616286479e-10	NEG
group_8287	6.164727281534031e-11	NEG
group_10292	1.5132960055155447e-11	NEG
group_3327	7.978481423210368e-12	NEG
group_10293	2.9895774044343686e-13	NEG
group_3394	1.5746367511200057e-13	POS
group_10294	5.617398498885084e-15	NEG
