Variable	Importance	Sign
group_8757	0.6735875921183314	NEG
group_3252	0.4077067896380148	NEG
group_8717	0.4044769549787983	NEG
group_7511	0.40040610533582555	NEG
group_5982	0.39628580657529455	NEG
group_9314	0.3934996110175945	NEG
group_10053	0.30114144166343637	NEG
group_4986	0.27629166421798323	NEG
group_5552	0.2730674682926072	NEG
group_8708	0.24137428344761794	NEG
group_3995	0.23883067254220444	POS
group_8754	0.18910727221008372	NEG
group_6207	0.18038231511357147	POS
group_6310	0.16313492620490735	NEG
group_8864	0.1458025547087467	NEG
group_193	0.1228236232219833	POS
group_5430	0.12055793583306311	NEG
group_3302	0.11978510030264594	POS
group_6277	0.11840963172219282	NEG
group_2845	0.11780476279379477	NEG
group_4521	0.11415923285853773	POS
group_4551	0.11323265862667811	POS
group_6208	0.11220350962796016	POS
group_8750	0.1041443025374467	NEG
group_5155	0.08185888968159966	NEG
group_8597	0.07660724803159116	NEG
group_7916	0.0764781292855686	NEG
group_8715	0.07541030287566743	NEG
group_3054	0.07459186886611147	POS
group_1921	0.07401991027288018	POS
group_3077	0.07347369105160842	POS
group_3247	0.07133284605716107	POS
group_39	0.07093601693957942	POS
group_434	0.06755774247802691	POS
group_5827	0.06574408745647937	POS
group_790	0.06425064009742619	POS
group_720	0.06419372025527235	POS
group_7487	0.06301882478483546	POS
group_7252	0.061634097876818394	NEG
group_972	0.061502118487701464	POS
group_1467	0.05551596500526065	POS
group_1752	0.05417272252721295	POS
group_3594	0.05176101944623458	POS
group_4625	0.0507876520563461	POS
group_5220	0.046990171768359144	POS
group_6441	0.046721859450902896	POS
group_6008	0.046290575823158035	POS
group_7649	0.04527087763441519	POS
group_5449	0.0397998989019414	NEG
group_6322	0.03547191658216217	NEG
group_5206	0.034250384887466435	POS
group_5306	0.034149283432578774	NEG
group_8735	0.033465379595263786	NEG
group_8738	0.033160664790132834	NEG
group_10009	0.03255272366351592	NEG
group_10010	0.032159966361632604	NEG
group_10011	0.03155007004869133	NEG
group_10008	0.031373948861351565	NEG
group_8150	0.03122284319220485	NEG
group_10012	0.03089744709548266	NEG
group_10015	0.03021881829060266	NEG
group_10017	0.029515890726353418	NEG
group_10018	0.02878562528692136	NEG
group_10019	0.028027576369081486	NEG
group_10020	0.027249652876893765	NEG
group_2474	0.026512489796164117	NEG
group_10021	0.026468887692156096	NEG
group_6651	0.026376285319910896	NEG
group_8656	0.026113463994471193	NEG
group_9254	0.026003905222921276	NEG
group_767	0.025974428418740005	NEG
group_264	0.02587556838567863	NEG
group_10044	0.02587018226104866	NEG
group_5963	0.02584901255553844	NEG
group_6169	0.02552946040835396	NEG
group_2152	0.024812216627840618	NEG
group_2218	0.024228813899291914	NEG
group_1489	0.02392365941129938	NEG
group_1407	0.02379661666614568	NEG
group_2501	0.023336042073202234	NEG
group_2684	0.022353540465890748	NEG
group_4020	0.021607577530435625	NEG
group_3562	0.02139489657906266	NEG
group_2723	0.021333569937023022	NEG
group_4190	0.02128554803326615	NEG
group_3587	0.0211494454609193	NEG
group_4234	0.020872995100256773	NEG
group_3826	0.020796058226972332	NEG
group_4288	0.02050228851594842	NEG
group_2808	0.02030583902038084	NEG
group_6444	0.019212135684740967	NEG
group_3545	0.01895396157999165	NEG
group_3546	0.017800202154222705	NEG
group_3604	0.016839295745477784	NEG
group_6051	0.01173723283601559	NEG
group_6135	0.011186213169833549	NEG
group_4074	0.011023863156712835	NEG
group_4092	0.010491363825804643	NEG
group_4342	0.010150884561035767	NEG
group_4420	0.009915480167456747	NEG
group_4477	0.009741802023086246	NEG
group_4953	0.009469409378779345	NEG
group_1978	0.009467445449199436	POS
group_2792	0.00904967691426496	POS
group_10036	0.008499504392289059	NEG
group_10035	0.007994828607059004	NEG
group_10669	0.007980618787089314	NEG
group_1654	0.006963715170891298	POS
group_3242	0.006676704353242474	NEG
group_4532	0.006187580164492813	NEG
group_6596	0.005382820314921498	POS
group_7200	0.004273245511822655	POS
group_4261	0.002743501729546144	NEG
group_6278	0.0026493620693052635	NEG
group_5824	0.0016203843926980142	NEG
