Variable	Importance	Sign
fig.623.1102.peg.2272	1.8868962133686025	NEG
fig.623.1786.peg.2796	0.45769820899381164	NEG
fig.623.1281.peg.2918	0.3385023834032216	NEG
fig.623.1281.peg.3483	0.33131461716592764	NEG
fig.623.1101.peg.4868	0.28283289488225244	NEG
fig.623.1101.peg.4866	0.22826307224440762	NEG
fig.623.1819.peg.4371	0.18325508928757597	NEG
fig.623.1101.peg.2351	0.1516269719189809	NEG
fig.623.1281.peg.3971	0.0883041178820165	POS
fig.623.1101.peg.3612	0.07436751907466257	POS
fig.623.1101.peg.4318	0.07393244319198149	POS
fig.623.1101.peg.3617	0.07290050778664693	POS
fig.623.1101.peg.3618	0.06994080478997297	POS
fig.623.1101.peg.3619	0.06704999473353096	POS
fig.623.1102.peg.866	0.06506361652155071	POS
fig.623.1101.peg.2357	0.06488237714494419	NEG
fig.623.1101.peg.2358	0.06441562111214173	NEG
fig.623.1281.peg.2800	0.0626936980298196	POS
fig.623.1281.peg.2802	0.0602753876524438	POS
fig.623.1101.peg.377	0.04902556139636367	POS
fig.623.1101.peg.379	0.04893646058000688	POS
fig.623.1101.peg.380	0.048542470084959315	POS
fig.623.1372.peg.117	0.04851067194316173	NEG
fig.623.1101.peg.381	0.048034049008834775	POS
fig.623.1372.peg.116	0.04759196876059245	NEG
fig.623.1372.peg.122	0.04744408087539057	NEG
fig.623.1372.peg.124	0.04617364213530801	NEG
fig.623.1372.peg.125	0.04496542171751365	NEG
fig.623.1372.peg.126	0.043873241958129965	NEG
fig.623.1372.peg.127	0.04288136478046264	NEG
fig.623.1372.peg.129	0.04194885890058178	NEG
fig.623.1372.peg.130	0.04103951228006814	NEG
fig.623.1372.peg.131	0.040133128171348835	NEG
fig.623.1372.peg.132	0.0392237749002542	NEG
fig.623.1372.peg.2104	0.038313488677099515	NEG
fig.623.1372.peg.2248	0.03740679097384856	NEG
fig.623.1372.peg.2874	0.03650780203983939	NEG
fig.623.1372.peg.3915	0.035619592547694125	NEG
fig.623.1372.peg.3916	0.034744665537041176	NEG
fig.623.1372.peg.516	0.03388557994713367	NEG
fig.623.1372.peg.960	0.03304520273662436	NEG
fig.623.1328.peg.1860	0.026308667377543286	NEG
fig.623.1286.peg.4345	0.020938848236800974	NEG
fig.623.1286.peg.4495	0.01990823754215635	NEG
fig.623.1286.peg.4512	0.018820017603895425	NEG
fig.623.1281.peg.4325	0.01628504374637334	NEG
fig.623.1101.peg.12	0.003379899152168155	POS
fig.623.1101.peg.13	0.0032894849779605425	POS
fig.623.1101.peg.11	0.003105542894308809	POS
fig.623.1101.peg.14	0.0030373702393118184	POS
fig.623.1101.peg.16	0.0028972494949014867	POS
fig.623.1101.peg.17	0.0027848812853718636	POS
fig.623.1101.peg.18	0.002651312079824749	POS
fig.623.1101.peg.10	0.0018800649168316918	POS
fig.623.1101.peg.8	0.001173509891363779	POS
fig.623.1101.peg.626	0.0010153222604216544	NEG
fig.623.1376.peg.2829	6.464371314014692e-4	NEG
fig.623.1101.peg.9	4.4381785741574197e-4	POS
fig.623.305.peg.4447	3.365098879912841e-4	POS
fig.623.1376.peg.2830	1.2143734557584214e-4	NEG
fig.623.2651.peg.2022	4.62583227674326e-5	NEG
fig.623.1376.peg.2832	1.8797869264158457e-5	NEG
fig.623.1376.peg.2833	2.433491200323863e-6	NEG
fig.623.1376.peg.2834	2.736217245872045e-7	NEG
fig.623.1376.peg.2835	2.7549551443774707e-8	NEG
fig.623.1376.peg.2836	2.5391892929228523e-9	NEG
fig.623.1376.peg.2837	2.1769085361611232e-10	NEG
fig.623.1376.peg.2838	1.7568148981112062e-11	NEG
fig.623.1376.peg.2839	1.3470516085432762e-12	NEG
fig.623.1376.peg.2840	9.887207820327604e-14	NEG
fig.623.1376.peg.2843	5.792902297907931e-15	NEG
