Variable	Importance	Sign
fig.623.1102.peg.2272	1.8776585291203005	NEG
fig.623.1786.peg.2796	0.4368472638329152	NEG
fig.623.1281.peg.2918	0.33987640522919615	NEG
fig.623.1281.peg.3483	0.33139414442906656	NEG
fig.623.1101.peg.4868	0.2826408559738157	NEG
fig.623.1101.peg.4866	0.21605622329416793	NEG
fig.623.1819.peg.4371	0.1848454968846397	NEG
fig.623.1101.peg.2351	0.11474993918819847	NEG
fig.623.1282.peg.2301	0.11196144613076263	NEG
fig.623.1101.peg.377	0.08071513858300476	POS
fig.623.1101.peg.379	0.08055785404379309	POS
fig.623.1101.peg.381	0.07928786967196941	POS
fig.623.1101.peg.3612	0.0735220733971308	POS
fig.623.1101.peg.3618	0.07206600295538476	POS
fig.623.1101.peg.3619	0.06934575610778847	POS
fig.623.1102.peg.866	0.06690415181846143	POS
fig.623.1101.peg.380	0.06639976572760159	POS
fig.623.1102.peg.1428	0.06586620938636686	NEG
fig.623.1281.peg.2800	0.06424980278580122	POS
fig.623.1281.peg.2802	0.06159830709149608	POS
fig.623.1101.peg.4318	0.05860307659043569	POS
fig.623.1431.peg.784	0.05851262917878028	NEG
fig.623.1372.peg.116	0.048353949652465894	NEG
fig.623.1372.peg.117	0.04834748653834604	NEG
fig.623.1372.peg.122	0.047396436896713814	NEG
fig.623.1372.peg.124	0.04631132327502192	NEG
fig.623.1101.peg.2357	0.0453057168783618	NEG
fig.623.1372.peg.125	0.04513387184767545	NEG
fig.623.1372.peg.126	0.04390877940254686	NEG
fig.623.1372.peg.127	0.042692074584072634	NEG
fig.623.1372.peg.129	0.041528530809040266	NEG
fig.623.1372.peg.130	0.040440919215854465	NEG
fig.623.1372.peg.131	0.03943056200305258	NEG
fig.623.1372.peg.132	0.03848449554659478	NEG
fig.623.1372.peg.2104	0.03758438924086746	NEG
fig.623.1372.peg.2248	0.03671378633273244	NEG
fig.623.1372.peg.2874	0.03586207377564392	NEG
fig.623.1372.peg.3915	0.03502520990850255	NEG
fig.623.1372.peg.3916	0.03420424700390031	NEG
fig.623.1372.peg.516	0.033402963652020085	NEG
fig.623.1372.peg.960	0.032625650574637656	NEG
fig.623.1328.peg.1860	0.03202579520079283	NEG
fig.623.1101.peg.634	0.020870909653951084	NEG
fig.623.1286.peg.4345	0.014485826833367375	NEG
fig.623.1286.peg.4495	0.013291132285651548	NEG
fig.623.1286.peg.4512	0.012407269689833827	NEG
fig.623.1101.peg.12	0.0041970610013968125	POS
fig.623.1101.peg.13	0.0040878838540881505	POS
fig.623.1101.peg.11	0.0039941565308067445	POS
fig.623.1101.peg.14	0.003912602746569759	POS
fig.623.1101.peg.16	0.003746455208191189	POS
fig.623.1101.peg.17	0.003573521205085276	POS
fig.623.1101.peg.18	0.0033898440561956713	POS
fig.623.1101.peg.10	0.002734924934919225	POS
fig.623.1101.peg.9	0.0011755901384673875	POS
fig.623.1308.peg.1113	9.915187774865142e-4	NEG
fig.623.1101.peg.4252	8.196325069379138e-4	POS
fig.623.1308.peg.86	4.627733746290247e-4	NEG
