Variable	Importance	Sign
PF00186_IPR001796	1.6833447540712672	NEG
PF00809_IPR000489	0.8089443108820802	NEG
PF13354_IPR045155	0.5524981880828325	NEG
PF01636_IPR002575	0.38203177898688206	NEG
PF10624_IPR018898	0.2920359789662361	POS
PF05025_IPR007721	0.2783222980950123	NEG
PF04655_IPR006748	0.26159051563147717	NEG
PF00165_IPR018060	0.24965686677754492	NEG
PF03551_IPR005149	0.24923505253810146	NEG
PF13495_IPR004107	0.24046629536243017	NEG
PF08722_IPR014833	0.2353821223305912	NEG
PF14697_.	0.219266767865774	NEG
PF01180_IPR005720	0.21887946910135478	NEG
PF18623_IPR041419	0.20995776063473934	NEG
PF00282_IPR002129	0.20609602301102978	POS
PF08721_IPR014832	0.20229098240254512	NEG
PF03795_IPR005545	0.19426439482930344	NEG
PF06527_IPR009492	0.16750988490394136	NEG
PF15978_IPR032750	0.1672497543853664	NEG
PF11426_IPR021542	0.16452102383796016	NEG
PF03400_IPR005063	0.15194207257334463	NEG
PF13427_IPR025184	0.150618850253384	NEG
PF01909_IPR002934	0.15031600466866082	NEG
PF02417_IPR003370	0.12727498567727602	NEG
PF06176_IPR009330	0.1068521619724533	NEG
PF06998_IPR009736	0.08775454604367985	NEG
PF26311_IPR059103	0.08437008116259698	POS
PF09669_IPR014054	0.08339838770966561	NEG
PF01202_IPR031322	0.07995658188430407	POS
PF13377_IPR046335	0.06955576616336044	NEG
PF13632_IPR001173	0.06851099314115336	POS
PF23505_IPR057800	0.060307873776666715	NEG
PF07660_IPR011662	0.05261385787472527	POS
PF08281_IPR013249	0.05255858172654516	POS
PF04773_IPR006860	0.05222429448292534	POS
PF16220_IPR032623	0.052192776808586507	POS
PF01527_IPR002514	0.0502897238438249	NEG
PF05717_IPR008878	0.04982356720035362	NEG
PF00999_IPR006153	0.04838492896026657	POS
PF03605_IPR004668	0.04014852798949148	POS
PF05193_IPR007863	0.039063644261143636	NEG
PF00675_IPR011765	0.038695112779025695	NEG
PF00561_IPR000073	0.032863525750172096	POS
PF01311_IPR002010	0.031036502411314604	POS
PF03313_IPR005130	0.030033356358011253	NEG
PF00358_IPR001127	0.02854905635750337	POS
PF02678_IPR003829	0.02443933701917925	NEG
PF05957_IPR043604	0.024086628281677663	NEG
PF06476_IPR009468	0.024002439737145546	NEG
PF13410_.	0.023805401462643393	NEG
PF13721_IPR027398	0.023799593561276335	NEG
PF13997_IPR025612	0.023575509982944522	NEG
PF07332_IPR009937	0.02349054351073479	NEG
PF17954_IPR041602	0.02323286223088515	NEG
PF19029_IPR043605	0.023004989341023612	NEG
PF01149_IPR012319	0.022679098795245562	NEG
PF01784_IPR002678	0.022403974509930775	NEG
PF02682_IPR003833	0.02212991975773776	NEG
PF00875_IPR006050	0.022049668752331573	NEG
PF03441_IPR005101	0.021717387824047692	NEG
PF03746_IPR005501	0.02124370758899081	NEG
PF05145_IPR007820	0.020891578219959742	NEG
PF06827_IPR010663	0.020759034382252073	NEG
PF06831_IPR015886	0.020556907745481696	NEG
PF14264_IPR025686	0.019117227237234795	NEG
PF03738_IPR005494	0.015295902711375814	NEG
PF01168_IPR001608	0.015182290897740688	NEG
PF21279_IPR048449	0.014947441708546462	NEG
PF10431_IPR019489	0.014856155341509872	POS
PF05257_IPR007921	0.014807383698853803	NEG
PF07724_IPR003959	0.014759083787512346	POS
PF17871_IPR041546	0.014525363082437777	POS
PF05683_IPR004647	0.014469839064968935	NEG
PF08521_IPR013727	0.014160343372752406	NEG
PF13737_IPR025668	0.013674702498981022	NEG
PF09374_IPR018537	0.01160805225592183	POS
PF05838_IPR008565	0.011574285628756767	POS
PF13369_IPR032698	0.007422766637172525	NEG
PF13940_IPR025253	0.0018708655436003756	NEG
