Variable	Importance	Sign
fig.623.1101.peg.5021	1.5311687230444544	NEG
fig.623.1101.peg.4183	1.0703686323411363	NEG
fig.623.2657.peg.1191	0.3690689786018044	NEG
fig.623.1368.peg.2595	0.30058307687672775	NEG
fig.623.2651.peg.4896	0.2898720552124772	POS
fig.623.1368.peg.4025	0.2848431033835897	NEG
fig.623.305.peg.4392	0.28068955003284357	POS
fig.623.1101.peg.5024	0.26564221136182775	NEG
fig.623.1286.peg.4345	0.2524422685053013	POS
fig.623.1286.peg.4495	0.23630945658176056	POS
fig.623.1303.peg.3997	0.22739052679738134	POS
fig.623.1358.peg.4430	0.13673772162013875	POS
fig.623.1101.peg.2164	0.13670548981745204	NEG
fig.623.1101.peg.2166	0.13564859629117715	NEG
fig.623.1101.peg.2167	0.13258732269098286	NEG
fig.623.1101.peg.2168	0.12907939120632356	NEG
fig.623.1101.peg.2169	0.1251676383531958	NEG
fig.623.1305.peg.3756	0.11355035526392515	NEG
fig.623.1344.peg.3388	0.10694119724559359	NEG
fig.623.1363.peg.4543	0.09215784374053214	POS
fig.623.1101.peg.5266	0.05634812284365119	NEG
fig.623.1305.peg.4376	0.05410960747639556	NEG
fig.623.1101.peg.5009	0.053412225324329925	NEG
fig.623.1342.peg.4167	0.051727472297377675	POS
fig.623.1286.peg.4198	0.043937998039790524	POS
fig.623.305.peg.4595	0.040666861246831595	NEG
fig.623.1328.peg.3374	0.03975209183990749	POS
fig.623.1101.peg.3612	0.033401340461310686	POS
fig.623.307.peg.495	0.03266302664754013	POS
fig.623.1342.peg.4472	0.031203901955946016	POS
fig.623.1101.peg.3617	0.030093126740195607	POS
fig.623.1357.peg.3902	0.02956940772349049	POS
fig.623.1101.peg.3618	0.026323807620301957	POS
fig.623.1101.peg.3619	0.02306233530027366	POS
fig.623.1352.peg.1875	0.020070031425226006	POS
fig.623.305.peg.4202	0.015668536641808197	POS
fig.623.1102.peg.446	0.015386937834187656	NEG
fig.623.1102.peg.866	0.015213657729366491	POS
fig.623.1404.peg.4165	0.015194298919134026	NEG
fig.623.1281.peg.2800	0.012024487241627897	POS
fig.623.308.peg.655	0.010433600497947802	POS
fig.623.1424.peg.497	0.009783388396217865	POS
fig.623.1281.peg.2802	0.009305198113821692	POS
fig.623.1424.peg.505	0.008835075937299241	POS
fig.623.1303.peg.4112	0.008447079110604338	POS
fig.623.1424.peg.508	0.007332322928947278	POS
fig.623.1424.peg.492	0.007057615291368684	POS
fig.623.1358.peg.4352	0.0061921705822422565	POS
fig.623.1303.peg.618	0.006178688696829509	POS
fig.623.1303.peg.4149	0.00596960942822429	POS
fig.623.1424.peg.509	0.00575605415942937	POS
fig.623.307.peg.3871	0.004975337021658339	POS
fig.623.1372.peg.1470	0.0043230560878951205	POS
fig.623.1424.peg.725	0.004236305512012016	POS
fig.623.1303.peg.2211	0.004012109093323833	POS
fig.623.1281.peg.2959	0.00398667201080234	POS
fig.623.307.peg.3920	0.0036828896659166213	POS
fig.623.1303.peg.280	0.0033585620972256063	POS
fig.623.1303.peg.4314	0.003233408955378642	POS
fig.623.1424.peg.1944	0.003132161223499738	POS
fig.623.1424.peg.753	0.0029044921971004244	POS
fig.623.1424.peg.2223	0.0022428577631892852	POS
fig.623.1303.peg.2821	0.002059886450798223	POS
fig.623.1424.peg.965	0.0018507695217765603	POS
fig.623.1424.peg.2387	0.0015429238056903637	POS
fig.623.1303.peg.4321	0.0014914734990725197	POS
fig.623.1303.peg.2822	0.0010784673763040878	POS
fig.623.1424.peg.2388	0.0010118512949350996	POS
fig.623.1342.peg.2437	6.478633654099849e-4	POS
fig.623.1424.peg.2389	6.267028728395331e-4	POS
fig.623.1303.peg.4395	6.02166897872266e-4	POS
fig.623.1303.peg.2940	4.93089588789113e-4	POS
fig.623.1342.peg.2436	4.7717574603302e-4	POS
fig.623.1424.peg.2390	3.637717123334982e-4	POS
fig.623.1303.peg.4462	2.1633622550192385e-4	POS
fig.623.1303.peg.3418	1.996791007068061e-4	POS
fig.623.1424.peg.2391	1.9694880706499856e-4	POS
fig.623.1424.peg.2892	9.928315448849752e-5	POS
fig.623.1424.peg.4645	6.51335816642414e-5	POS
fig.623.1424.peg.3096	4.6628051464093e-5	POS
fig.623.1424.peg.476	4.331183772188702e-5	POS
fig.623.1424.peg.3566	2.0444197506035292e-5	POS
fig.623.1424.peg.4127	8.392606989074853e-6	POS
fig.623.1424.peg.4417	3.2361379516854995e-6	POS
fig.623.1424.peg.4495	1.1759296797937527e-6	POS
