Variable	Importance	Sign
fig.623.1102.peg.2272	1.155993021205846	NEG
fig.623.1281.peg.2918	0.300257670750113	NEG
fig.623.1281.peg.3483	0.29980579029392285	NEG
fig.623.1101.peg.4868	0.2193828483377043	NEG
fig.623.1101.peg.377	0.20619118434214198	POS
fig.623.1101.peg.379	0.20504859583351723	POS
fig.623.1101.peg.381	0.20396566668340005	POS
fig.623.1101.peg.4318	0.19704719361400858	POS
fig.623.1101.peg.380	0.19621563674476686	POS
fig.623.1101.peg.4866	0.1961731298698891	NEG
fig.623.1102.peg.5065	0.17558952514714965	NEG
fig.623.1277.peg.1689	0.1481064961399817	NEG
fig.623.2651.peg.2022	0.13057214924808264	NEG
fig.623.1277.peg.693	0.12565713152458197	NEG
fig.623.1101.peg.5392	0.09837701569598623	NEG
fig.623.1101.peg.3612	0.08394074777369073	POS
fig.623.1101.peg.3618	0.08370541489343039	POS
fig.623.1101.peg.3619	0.08225751743626827	POS
fig.623.1102.peg.866	0.08095754043409718	POS
fig.623.1281.peg.2800	0.07944256383287543	POS
fig.623.1281.peg.2802	0.07792615164546408	POS
fig.623.1431.peg.784	0.0764433399769819	NEG
fig.623.1819.peg.4371	0.07382035103976459	NEG
fig.623.1101.peg.2111	0.071964960572958675	NEG
fig.623.1101.peg.4249	0.0709542115037998	NEG
fig.623.1277.peg.3147	0.07064262514290932	POS
fig.623.306.peg.351	0.06988984434250291	NEG
fig.623.1101.peg.3547	0.06784433408189096	NEG
fig.623.1102.peg.1505	0.06745501185054627	NEG
fig.623.1101.peg.1328	0.059576949998435026	NEG
fig.623.1277.peg.163	0.05193331872711847	POS
fig.623.1286.peg.4345	0.051749393932946496	NEG
fig.623.1101.peg.634	0.05158856958849705	NEG
fig.623.1286.peg.4495	0.04957516989510201	NEG
fig.623.1101.peg.376	0.04523010344579712	POS
fig.623.1101.peg.378	0.044733736603945015	POS
fig.623.1101.peg.335	0.041932477213924575	POS
fig.623.1101.peg.2351	0.040208321170134564	NEG
fig.623.1281.peg.4325	0.03604144221479689	NEG
fig.623.1372.peg.117	0.02919729666460016	NEG
fig.623.1372.peg.122	0.02881247056010712	NEG
fig.623.1372.peg.116	0.028276028085225804	NEG
fig.623.1372.peg.124	0.028255566971912463	NEG
fig.623.1372.peg.125	0.027701479404668987	NEG
fig.623.1372.peg.126	0.02716526183669215	NEG
fig.623.1372.peg.127	0.02663953851409815	NEG
fig.623.1372.peg.129	0.026116020311166704	NEG
fig.623.1372.peg.130	0.025592537682408847	NEG
fig.623.1372.peg.131	0.025074002070999316	NEG
fig.623.1372.peg.132	0.02456940263629837	NEG
fig.623.1372.peg.2104	0.024087532150002845	NEG
fig.623.1372.peg.2248	0.02363373927407796	NEG
fig.623.1372.peg.2874	0.023208778563751305	NEG
fig.623.1372.peg.3915	0.022809562685685656	NEG
fig.623.1372.peg.3916	0.022430914492621214	NEG
fig.623.1372.peg.516	0.02206736805125223	NEG
fig.623.1372.peg.960	0.021714417396050425	NEG
fig.623.1101.peg.13	0.01728325914559249	POS
fig.623.1101.peg.12	0.017223177115233763	POS
fig.623.1101.peg.11	0.016666437437839004	POS
fig.623.1101.peg.10	0.015292237756539286	POS
fig.623.1101.peg.14	0.014416867269478766	POS
fig.623.1101.peg.16	0.013323597906277114	POS
fig.623.1101.peg.9	0.013094216467452074	POS
fig.623.1101.peg.17	0.012995302517027133	POS
fig.623.305.peg.4447	0.012976521891456153	POS
fig.623.1101.peg.18	0.012848032683813662	POS
fig.623.1101.peg.1327	0.01153642374112767	NEG
fig.623.1281.peg.4550	0.00962536607570791	NEG
fig.623.1281.peg.1226	0.007972490972326555	NEG
fig.623.1368.peg.2595	0.007891578557684941	NEG
fig.623.1368.peg.4025	0.007639835319358253	NEG
fig.623.1281.peg.2445	0.003327764971628953	NEG
fig.623.1281.peg.2446	0.0031951402873330917	NEG
fig.623.1281.peg.2444	0.0029768090516577614	NEG
fig.623.1281.peg.2447	0.002974638783584067	NEG
fig.623.1281.peg.2448	0.0027183122709541906	NEG
fig.623.1281.peg.2462	0.002427677912534062	NEG
fig.623.1281.peg.2464	0.0021073604611149244	NEG
fig.623.2651.peg.3972	0.0019392675721144992	NEG
fig.623.2651.peg.2295	0.0018143675527346821	NEG
fig.623.1281.peg.2465	0.0017694945213430626	NEG
fig.623.1281.peg.4468	0.0016962735969320427	NEG
fig.623.1281.peg.4469	0.0014445238161230982	NEG
fig.623.1281.peg.2466	0.0014317968069555648	NEG
fig.623.1281.peg.4494	0.0013407716711176798	NEG
fig.623.305.peg.5122	0.0013352046832389075	NEG
fig.623.305.peg.5124	0.0013210747723218883	NEG
fig.623.306.peg.4787	0.0012821081249902375	NEG
fig.623.1281.peg.2467	0.001113578357691498	NEG
fig.623.1281.peg.2468	8.312895896731959e-4	NEG
fig.623.1281.peg.2469	5.95354675725904e-4	NEG
