Variable	Importance	Sign
group_5135	0.3959748995211844	NEG
group_7939	0.39291050378947606	NEG
group_4827	0.15168641319891935	POS
group_5134	0.15076218716431147	NEG
group_7373	0.14968840416869933	NEG
group_1607	0.03662942083026702	NEG
group_7291	0.03503006837164811	NEG
group_1210	0.029826950883113365	NEG
group_10382	0.02964483660456744	NEG
group_1649	0.029393779931024183	NEG
group_1716	0.02885015957427022	NEG
group_5167	0.02876015083769772	NEG
group_2853	0.02833722605639791	NEG
group_5567	0.028255918714293178	NEG
group_4552	0.02790023501812798	NEG
group_3176	0.027847725821071326	NEG
group_5642	0.027826768285807078	NEG
group_5728	0.0274181412793732	NEG
group_3354	0.02736910573174929	NEG
group_5880	0.027024079459419918	NEG
group_3366	0.026898724257582145	NEG
group_6755	0.026657280964287572	NEG
group_3412	0.026438918885043534	NEG
group_3947	0.02599193635843133	NEG
group_4289	0.02555777582580625	NEG
group_4751	0.02514047676362161	NEG
group_5136	2.0129921544135746e-4	NEG
group_1002	1.421512031879946e-4	NEG
group_1007	1.333323892963196e-4	NEG
group_1014	8.272636405100743e-5	POS
group_1020	4.3693897738585995e-5	NEG
group_514	4.312981219242578e-5	NEG
group_1024	2.028286844674914e-5	NEG
group_10546	1.8429191918731706e-5	NEG
group_10547	1.3818802730124814e-5	NEG
group_10545	1.2834911963488417e-5	NEG
group_1025	8.362401499251791e-6	NEG
group_5140	8.245582219245785e-6	NEG
group_10548	7.9658065897075e-6	NEG
group_10549	3.898655776903705e-6	NEG
group_10255	3.1008963818904575e-6	NEG
group_10557	1.6813969315785526e-6	NEG
group_1239	1.5689310992586061e-6	NEG
group_5141	1.4773307225396683e-6	NEG
group_1255	1.1407535408075597e-6	NEG
group_1219	1.1111240795193682e-6	NEG
group_1038	1.048400781100467e-6	NEG
group_10558	6.518804650068411e-7	NEG
group_1256	6.465828766936365e-7	NEG
group_1298	3.126297970417757e-7	NEG
group_10559	2.3050600475425994e-7	NEG
group_1299	1.3344990810182488e-7	NEG
group_10560	7.522642235196518e-8	NEG
group_1306	5.127894186324491e-8	NEG
group_10583	2.288760379233428e-8	NEG
group_10592	1.9389659892225924e-8	NEG
group_1341	1.799443225271957e-8	NEG
group_10584	6.547516369435302e-9	NEG
group_10593	6.126449735242408e-9	NEG
group_135	5.834942558055788e-9	NEG
group_1371	3.7172558234995233e-9	NEG
group_10594	2.1908581341185585e-9	NEG
group_1372	2.021324543810287e-9	NEG
group_10585	1.7739215371261436e-9	NEG
group_1350	1.765802007199395e-9	NEG
group_10595	8.734396656301525e-10	NEG
group_1376	8.238313340445809e-10	NEG
group_1351	5.029093153060898e-10	NEG
group_10586	4.5795938350063395e-10	NEG
group_10596	3.2664416459537583e-10	NEG
group_1383	2.0655530868532595e-10	NEG
group_1353	1.3575263495680354e-10	NEG
group_10589	1.1324140132057698e-10	NEG
group_10597	1.0873194028529261e-10	NEG
group_1409	5.239199224204858e-11	NEG
group_1362	3.493911244855359e-11	NEG
group_10598	3.23877306493947e-11	NEG
group_10590	2.6939330505864537e-11	NEG
group_1429	1.4313660816180744e-11	NEG
group_10599	8.779243922954116e-12	NEG
group_1363	8.617524585792636e-12	NEG
group_10591	5.504917828692405e-12	NEG
group_143	4.050396733140889e-12	NEG
group_10600	2.2005181037939028e-12	NEG
group_1435	1.126808209977751e-12	NEG
group_10601	5.167030918960993e-13	NEG
group_144	2.9912471851922215e-13	NEG
group_10602	1.1485716528383905e-13	NEG
group_1511	1.1220855568907996e-13	POS
group_1444	7.501591090341514e-14	NEG
group_1518	3.220372935849953e-14	NEG
group_10603	2.107676629903538e-14	NEG
group_1451	1.4756539170800702e-14	NEG
group_1527	7.273166030052767e-15	NEG
group_10604	3.643589918716222e-15	NEG
group_1459	2.592554365240389e-15	NEG
group_1533	1.3032840863100333e-15	NEG
group_10605	6.025937173261444e-16	NEG
group_1460	4.484418361496889e-16	NEG
group_1541	2.802761475935556e-16	NEG
