Variable	Importance	Sign
PF04655_IPR006748	2.7150273474332494	NEG
PF13354_IPR045155	2.426533100514505	NEG
PF02417_IPR003370	2.215080123471282	NEG
PF08722_IPR014833	1.4107941155761752	NEG
PF03795_IPR005545	1.305417596013386	NEG
PF06527_IPR009492	1.2534951534753445	NEG
PF15978_IPR032750	0.9755768860182732	NEG
PF10624_IPR018898	0.9478596994786346	POS
PF06476_IPR009468	0.40990261642533665	NEG
PF01218_IPR001260	0.39661504328233615	POS
PF06998_IPR009736	0.3689363061417048	NEG
PF13495_IPR004107	0.36658551327313654	NEG
PF02411_IPR003457	0.29369221777768323	NEG
PF03203_IPR004891	0.2664712706513661	NEG
PF20155_IPR013491	0.19364693538970068	NEG
PF00165_IPR018060	0.18668044609936374	NEG
PF21716_IPR014057	0.16040403907401832	POS
PF03806_IPR004697	0.15418456714199844	NEG
PF08479_IPR013686	0.14359295824011975	NEG
PF00875_IPR006050	0.12622801076805365	NEG
PF06176_IPR009330	0.12380099889853168	NEG
PF07120_IPR010781	0.12320923154625327	NEG
PF03691_IPR005363	0.12209687467205597	POS
PF13340_IPR025161	0.1075081370204359	NEG
PF13737_IPR025668	0.08207675756111875	NEG
PF13997_IPR025612	0.06600171032374698	NEG
PF06892_IPR009679	0.05628305212746628	NEG
PF05106_IPR006481	0.043026099163335343	NEG
PF13518_IPR055247	0.02657383409181018	POS
PF17287_IPR035251	0.024677301689480378	NEG
PF04151_IPR007280	0.01903031503093477	POS
PF01815_IPR000769	0.01799450836419243	NEG
PF21661_IPR049206	0.005052546848154695	POS
PF11426_IPR021542	0.0027838077615821356	NEG
PF13477_IPR028098	9.058593679677304e-4	NEG
PF11480_IPR020127	5.858738409734569e-4	NEG
PF02626_IPR003778	1.0288499710349721e-4	NEG
PF05145_IPR007820	1.574030535164017e-5	NEG
