Variable	Importance	Sign
PF00186_IPR001796	4.990591507482939	NEG
PF13354_IPR045155	0.8822631808174084	NEG
PF01180_IPR005720	0.7327906514031666	NEG
PF13377_IPR046335	0.544786649732367	NEG
PF05025_IPR007721	0.37852916996081354	NEG
PF05717_IPR008878	0.30841842260022423	NEG
PF00675_IPR011765	0.28113573958510557	NEG
PF00165_IPR018060	0.21860671263887796	NEG
PF10624_IPR018898	0.19092557056743525	POS
PF13940_IPR025253	0.16564040688867185	NEG
PF14264_IPR025686	0.13048163831093662	NEG
PF04657_IPR006750	0.11868928601682738	POS
PF02678_IPR003829	0.1157402561040407	NEG
PF01202_IPR031322	0.056429313841646456	POS
PF00875_IPR006050	0.047355174219667166	NEG
PF06998_IPR009736	0.046201300325025625	NEG
PF10735_IPR019671	0.04236543412611821	POS
PF14697_.	0.024614466781568	NEG
PF01784_IPR002678	0.00492605754072598	NEG
PF16884_IPR041694	0.001869792936595126	POS
PF13997_IPR025612	0.001773502707366534	NEG
PF02682_IPR003833	8.788039967861114e-4	NEG
PF05145_IPR007820	7.19226169289253e-5	NEG
PF13410_.	3.446924367743643e-5	NEG
