Variable	Importance	Sign
group_8483	3.0478042697624463	NEG
group_2845	2.994888038609852	NEG
group_8237	2.1361712277921536	NEG
group_5749	0.7155299365290972	POS
group_10093	0.5167015864184696	NEG
group_2065	0.26984744549371603	NEG
group_5045	0.20093979991767527	NEG
group_8061	0.18740677353490018	NEG
group_6343	0.17461156415427997	POS
group_4427	0.16116959612037937	POS
group_9383	0.1600518475700151	POS
group_8726	0.1504682584519008	NEG
group_6647	0.13911292781962112	NEG
group_6345	0.13610231199964315	NEG
group_8075	0.134983806535143	POS
group_8556	0.12205465261938481	POS
group_9455	0.08546116097917815	NEG
group_6879	0.07637984075944698	NEG
group_7757	0.053144836198662115	NEG
group_6988	0.03941227741443289	POS
group_6575	0.038588486797334176	NEG
group_9391	0.03661337655687694	POS
group_4618	0.005193893376138591	POS
group_9387	0.005011591465343888	POS
group_8931	0.003429929648979131	POS
group_9393	7.676315399811791e-6	POS
group_9386	4.028127523615483e-6	POS
