Variable	Importance	Sign
group_5718.group_6725.group_8237	0.8481780977181514	NEG
group_6726.group_8463.group_8464	0.7635996338610481	POS
group_7027.group_8483.group_8371	0.7458133752826535	NEG
group_7616.group_8371.group_8483	0.7359941454243564	NEG
group_1965.group_6152.group_8320	0.6151445721029815	POS
group_1712.group_236.group_565	0.5861378336553091	NEG
group_2662.group_2845.group_5969	0.5753558117249171	NEG
group_6343.group_6053.group_7778	0.5133746855882998	POS
group_7744.group_8432.group_8488	0.5043031108863948	POS
group_3783.group_3927.group_6874	0.3554806922950144	POS
group_6444.group_4627.group_6445	0.3498144123594692	NEG
group_6615.group_5239.group_8320	0.3451055415796119	NEG
group_6531.group_6532.group_5444	0.329786230611691	POS
group_5749.group_6909.group_7854	0.3279199507759322	POS
group_6682.group_5537.group_7740	0.3065449999879296	POS
group_3871.group_3783.group_3927	0.28657620875858186	POS
group_4560.group_8465.group_8335	0.23024751765556592	NEG
group_618.group_7157.group_6731	0.22703246764680166	POS
group_2606.group_7891.group_5718	0.21126146351021602	NEG
group_8163.group_8481.group_2731	0.20989310191438024	POS
group_1245.group_7238.group_7982	0.1994941320149967	POS
group_6980.group_8307.group_8335	0.19600268777259242	NEG
group_2446.group_8320.group_7912	0.1895798954685547	POS
group_6725.group_5718.group_7891	0.18700497067298047	NEG
group_8658.group_8639.group_8638	0.17967868479506746	POS
group_6970.group_7912.group_8320	0.1786803693877098	POS
group_4452.group_8465.group_8335	0.1757151008915304	POS
group_2037.group_7363.group_1528	0.16428018878697995	POS
group_4613.group_6797.group_7531	0.16265152383997322	POS
group_6343.group_6053.group_6778	0.15898996616282782	POS
group_6532.group_5444.group_7724	0.14717645158572645	POS
group_624.group_5057.group_6575	0.14599029469613187	NEG
group_1766.group_4422.group_4421	0.14494033571872528	NEG
group_1183.group_5392.group_6647	0.1405279974667816	NEG
group_6430.group_4613.group_6797	0.13731196114557598	POS
group_5206.group_8483.group_2606	0.1360542432506593	NEG
group_4422.group_4421.group_6502	0.12944167653435826	NEG
group_8320.group_8237.group_8372	0.12100232444441478	NEG
group_4090.group_8486.group_8495	0.12068925354646863	NEG
group_6435.group_8323.group_6412	0.11133713250998979	POS
group_265.group_7093.group_4284	0.10513175944964197	POS
group_6435.group_8323.group_6593	0.10403059916637164	POS
group_8158.group_7729.group_8326	0.1020684401240779	POS
group_3571.group_7456.group_2774	0.09907179588036089	POS
group_6669.group_8326.group_7729	0.0917970569114153	POS
group_4359.group_7612.group_7568	0.08938094275502445	POS
group_7525.group_4834.group_7876	0.08916834317224939	POS
group_6203.group_6283.group_7807	0.08807586645804005	POS
group_2242.group_2876.group_2850	0.08703410523671405	POS
group_7185.group_7974.group_7514	0.08698521923380821	POS
group_7441.group_8013.group_8074	0.08378347138175146	NEG
group_6631.group_4762.group_7629	0.08119704603732046	NEG
group_4912.group_5075.group_6537	0.0804973979296726	POS
group_6715.group_5681.group_7740	0.077425092793417	POS
group_7971.group_8074.group_8013	0.07099368699454434	NEG
group_2211.group_5453.group_8140	0.07045913023179043	POS
group_2174.group_850.group_6841	0.07020212587972254	NEG
group_3976.group_7368.group_7725	0.059240240750324004	POS
group_4685.group_8327.group_8355	0.05815452626276656	POS
group_1036.group_8309.group_6743	0.04861219332391604	POS
group_7757.group_8307.group_6107	0.045224440653679615	POS
group_1036.group_8309.group_8375	0.04477157041417528	POS
group_2908.group_4773.group_6356	0.04154772839921445	POS
group_2181.group_5267.group_6265	0.04118133273135136	POS
group_1290.group_408.group_6814	0.034510816060750675	POS
group_2908.group_4773.group_682	0.03278022164867953	NEG
group_187.group_7082.group_5505	0.03197332307833227	POS
group_7778.group_6053.group_7779	0.02856146508022316	NEG
group_2282.group_6814.group_408	0.027412212750870465	POS
group_1965.group_6013.group_3377	0.02662709116912246	POS
group_2193.group_7378.group_4502	0.02639404607749832	POS
group_3835.group_8300.group_7915	0.024676437316326624	POS
group_6742.group_6743.group_8309	0.024536495511752014	POS
group_1696.group_3346.group_8141	0.023779763431835736	POS
group_538.group_908.group_5505	0.023674720074107626	POS
group_6333.group_4564.group_5275	0.02340248547206566	POS
