Variable	Importance	Sign
group_3252	0.5528824030864644	NEG
group_7511	0.5321314205939391	NEG
group_8757	0.518571684954775	NEG
group_4986	0.4389659320093924	NEG
group_8717	0.43494184319986284	NEG
group_5552	0.41796278547568	NEG
group_6207	0.41642208126528785	POS
group_3995	0.40070826677717936	POS
group_3781	0.35179258692097615	NEG
group_8499	0.3421279576906869	NEG
group_8708	0.1697042097602974	NEG
group_193	0.16239299242688954	POS
group_3302	0.13871320014795874	POS
group_8597	0.13407304100007794	NEG
group_4521	0.12416251053692846	POS
group_6208	0.12090939178659935	POS
group_4551	0.11914484927327317	POS
group_1467	0.10419877135018318	POS
group_6651	0.10036832990299328	NEG
group_1752	0.09648502423546673	POS
group_4976	0.09403123167406281	NEG
group_5155	0.0917986519259922	NEG
group_1921	0.09137509079485943	POS
group_5430	0.0896672783566583	NEG
group_3594	0.08749316726979543	POS
group_3054	0.08556136622631831	POS
group_3077	0.08409438246338594	POS
group_6277	0.08242237923215454	NEG
group_3247	0.08198990706816693	POS
group_4625	0.08153991177065577	POS
group_39	0.07754818232484915	POS
group_5220	0.07086593989912279	POS
group_434	0.07059739759282092	POS
group_6008	0.06872814307664966	POS
group_5827	0.06775634105561776	POS
group_2845	0.06750031140467258	NEG
group_6441	0.06564961871153553	POS
group_790	0.06394553417857975	POS
group_720	0.06343468068051725	POS
group_7916	0.06208768966056758	NEG
group_972	0.06176788732032918	POS
group_7487	0.06150830520882989	POS
group_7649	0.060489954758699255	POS
group_6322	0.056341925636348655	NEG
group_8735	0.04894052933243857	NEG
group_8750	0.04712972944552798	NEG
group_8738	0.044571297508137306	NEG
group_4532	0.03950044166578097	NEG
group_5449	0.03940059733617763	NEG
group_5657	0.03696267588114584	NEG
group_10008	0.03466301713109189	NEG
group_10009	0.03236663469547452	NEG
group_1470	0.03162839213147509	NEG
group_10010	0.028880342164745214	NEG
group_10011	0.02613701388259517	NEG
group_10012	0.024344549582913044	NEG
group_7936	0.02359120833059647	NEG
group_10015	0.023198225618970964	NEG
group_10017	0.022291831261581206	NEG
group_10018	0.021351644144500272	NEG
group_5963	0.021269577672344265	NEG
group_6169	0.02110334535005489	NEG
group_10019	0.02027589005097124	NEG
group_2474	0.019152120112481234	NEG
group_10020	0.0190802352895077	NEG
group_10021	0.0178299907795155	NEG
group_8118	0.017520761297167096	POS
group_9254	0.016998773929259758	NEG
group_7360	0.01693582141200481	POS
group_8754	0.015540057585750906	NEG
group_3146	0.01538643699351688	NEG
group_264	0.014628413799442566	NEG
group_2127	0.01295213828434347	NEG
group_8656	0.012453330793759028	NEG
group_767	0.011346696139828041	NEG
group_3587	0.011301467878501456	NEG
group_3826	0.011115608816853717	NEG
group_3562	0.010978091045445304	NEG
group_3809	0.010025894506235856	NEG
group_2814	0.007960898412898293	NEG
group_8509	0.007276208016605305	NEG
group_4020	0.0070559885413207304	NEG
group_8510	0.006978586221924628	NEG
group_4705	0.006549130751900226	NEG
group_4190	0.0059732858813471785	NEG
group_8511	0.005757393745271222	NEG
group_4234	0.005495592022329282	NEG
group_4288	0.005165081514720092	NEG
group_8512	0.004186136235011037	NEG
group_8513	0.0027204287779780414	NEG
group_5539	0.001641158928642805	NEG
group_8514	0.0015944675327310431	NEG
group_8508	0.00130346507338171	NEG
group_8515	8.483288465965531e-4	NEG
group_7183	6.478570012802094e-4	NEG
group_5625	6.097988662498371e-4	NEG
group_8516	4.121256430425383e-4	NEG
group_4063	1.847927426379527e-4	NEG
group_5640	1.8207913089810803e-4	NEG
group_5144	1.32089410706487e-4	NEG
group_6062	1.2796356476264294e-4	NEG
group_5873	1.0262654814583489e-4	NEG
group_8517	1.0053733516186085e-4	NEG
group_5157	4.415307400962971e-5	NEG
group_8518	3.670642472037229e-5	NEG
group_8500	1.8516950756577827e-5	NEG
group_5885	1.6229198616556744e-5	NEG
group_8519	1.3235630880786212e-5	NEG
group_8520	4.913892128065885e-6	NEG
group_8501	3.5849255717892355e-6	NEG
group_5325	3.4549113990133997e-6	NEG
group_8521	1.9873417939760385e-6	NEG
group_8522	9.008001761167905e-7	NEG
group_8523	4.433715006373862e-7	NEG
group_8524	2.2151417540360874e-7	NEG
group_8502	1.9481442185153694e-7	NEG
group_8503	7.787136986098397e-9	NEG
group_8504	2.64203335385457e-10	NEG
group_8505	8.039720361420384e-12	NEG
group_8506	2.2587066483172115e-13	NEG
