Variable	Importance	Sign
fig.623.1101.peg.5021	1.7032490686715251	NEG
fig.623.1101.peg.4183	0.8447931883975969	NEG
fig.623.2657.peg.1191	0.5071988471196126	NEG
fig.623.1303.peg.3997	0.3281996022493562	POS
fig.623.1101.peg.5024	0.2858687319921005	NEG
fig.623.2651.peg.4896	0.2637724797817156	POS
fig.623.1347.peg.1359	0.19922812996056474	NEG
fig.623.1281.peg.1226	0.18980142603589553	NEG
fig.623.1368.peg.2595	0.17912041110086793	NEG
fig.623.1101.peg.634	0.17711162722000737	POS
fig.623.1358.peg.4430	0.17132120864466083	POS
fig.623.1103.peg.16	0.16884402516437116	NEG
fig.623.1368.peg.4025	0.16524968836224882	NEG
fig.623.305.peg.4595	0.1619776108977159	NEG
fig.623.1286.peg.4345	0.16142941166420066	POS
fig.623.1363.peg.1506	0.14748554480080237	POS
fig.623.1286.peg.4495	0.14700637396584454	POS
fig.623.1101.peg.3810	0.1434160875646499	POS
fig.623.1328.peg.3374	0.11799552439765373	POS
fig.623.1357.peg.3902	0.10181790341908721	POS
fig.623.1352.peg.1875	0.056912100996141655	POS
fig.623.1101.peg.2169	0.04695466550243604	NEG
fig.623.1101.peg.2168	0.04691636764540824	NEG
fig.623.1101.peg.2167	0.04551631847821936	NEG
fig.623.1101.peg.2166	0.042919394947775906	NEG
fig.623.1305.peg.4376	0.04199703431996519	NEG
fig.623.1101.peg.3612	0.0401499046209929	POS
fig.623.1101.peg.2164	0.03962753476885483	NEG
fig.623.1101.peg.244	0.03920617326214256	POS
fig.623.1101.peg.3618	0.03852870494831147	POS
fig.623.1342.peg.2436	0.03761114367981766	POS
fig.623.1342.peg.2437	0.03612230261276795	POS
fig.623.1101.peg.886	0.03584510833463135	POS
fig.623.1101.peg.3619	0.03495995253313807	POS
fig.623.1102.peg.866	0.03146067751529883	POS
fig.623.305.peg.3227	0.03010098730437826	NEG
fig.623.1101.peg.1316	0.025994167985521042	POS
fig.623.1101.peg.1315	0.025366838136072642	POS
fig.623.1101.peg.2141	0.024693833975382752	NEG
fig.623.1303.peg.4112	0.023359373037457474	POS
fig.623.1281.peg.2332	0.023200525402872027	POS
fig.623.1431.peg.784	0.020069673943617177	NEG
fig.623.1315.peg.13	0.019905153697281398	POS
fig.623.1342.peg.4472	0.019154285007034953	POS
fig.623.1358.peg.4352	0.018990378264134394	POS
fig.623.1101.peg.2812	0.018673008324066806	NEG
fig.623.1344.peg.3388	0.01864933658518524	NEG
fig.623.1303.peg.4149	0.0185024442224012	POS
fig.623.305.peg.4202	0.01820941152930236	POS
fig.623.1101.peg.538	0.01785665110287934	POS
fig.623.1281.peg.2800	0.01767870681212905	POS
fig.623.1303.peg.2285	0.017471285779426877	POS
fig.623.1101.peg.2882	0.01636228742140926	NEG
fig.623.1101.peg.3710	0.014200034114084992	NEG
fig.623.1372.peg.1470	0.013915122550550212	POS
fig.623.1424.peg.497	0.013871775631583944	POS
fig.623.1281.peg.2802	0.013389816312073933	POS
fig.623.1303.peg.4314	0.013041910938345093	POS
fig.623.1424.peg.505	0.012229202447544761	POS
fig.623.1424.peg.1944	0.01159430763179537	POS
fig.623.1101.peg.738	0.011447662767704857	POS
fig.623.1297.peg.528	0.01084771837638448	POS
fig.623.1424.peg.508	0.010400221210511543	POS
fig.623.307.peg.495	0.010069827603208717	POS
fig.623.1424.peg.2223	0.009592210063071382	POS
fig.623.1424.peg.509	0.008528403342846614	POS
fig.623.1303.peg.4321	0.008306361995574219	POS
fig.623.1424.peg.492	0.00791095738495979	POS
fig.623.307.peg.3871	0.0078567973523369	POS
fig.623.1303.peg.2211	0.007635823355429905	POS
fig.623.1424.peg.2387	0.007544235411108032	POS
fig.623.1101.peg.651	0.007383932744332421	NEG
fig.623.1424.peg.725	0.006639440480977237	POS
fig.623.1101.peg.4729	0.006618076585611705	POS
fig.623.1358.peg.2937	0.006584296094965525	NEG
fig.623.307.peg.3920	0.0061266449287700414	POS
fig.623.1101.peg.4193	0.006008022087186877	NEG
fig.623.1101.peg.912	0.005617090855226367	POS
fig.623.1424.peg.2388	0.005592443595338517	POS
fig.623.1303.peg.618	0.005394276700265121	POS
fig.623.1361.peg.2871	0.005141738458082646	NEG
fig.623.1424.peg.753	0.004856019778955796	POS
fig.623.1303.peg.4395	0.0048025462288984605	POS
fig.623.1303.peg.280	0.004533958288101676	POS
fig.623.1101.peg.959	0.004267234150067111	POS
fig.623.1424.peg.2389	0.003898328391247188	POS
fig.623.308.peg.655	0.0035251120597966	POS
fig.623.1424.peg.965	0.00332236140858156	POS
fig.623.1303.peg.2821	0.0030612252626930777	POS
fig.623.1101.peg.960	0.003051827816479809	POS
fig.623.1101.peg.4540	0.002897847651787087	POS
fig.623.1424.peg.2390	0.0025508103711428293	POS
fig.623.1303.peg.4462	0.002530784468910795	POS
fig.623.1281.peg.2962	0.0024719862039099504	POS
fig.623.1303.peg.2822	0.002043349019654497	POS
fig.623.1802.peg.76	0.0016378278138440092	POS
fig.623.1424.peg.2391	0.0015646126011036254	POS
fig.623.1411.peg.1131	0.0014348679775289086	POS
fig.623.1303.peg.2940	0.0013114096440277406	POS
fig.623.1424.peg.2892	8.992533741776285e-4	POS
fig.623.1303.peg.3418	7.845672910408788e-4	POS
