Variable	Importance	Sign
fig.623.1101.peg.2351	2.97256484334465	NEG
fig.623.1101.peg.5018	1.9044885929217474	NEG
fig.623.1103.peg.18	1.4163477620925857	NEG
fig.623.1103.peg.16	0.993662100154745	NEG
fig.623.1101.peg.5024	0.7364653152704613	NEG
fig.623.1285.peg.1848	0.6358840785586136	NEG
fig.623.1293.peg.4708	0.475913825629185	POS
fig.623.1296.peg.4293	0.4329002973564817	POS
fig.623.1409.peg.4567	0.4270529774422559	POS
fig.623.1277.peg.4681	0.4242556195282037	NEG
fig.623.1293.peg.4092	0.3032561035174638	POS
fig.623.1431.peg.4142	0.29398760570401555	POS
fig.623.1382.peg.4846	0.27092247222676313	NEG
fig.623.1101.peg.4820	0.26384402998801054	NEG
fig.623.1101.peg.60	0.21356701183716814	POS
fig.623.1422.peg.4237	0.20984117545100503	POS
fig.623.1317.peg.2675	0.19805202993779694	POS
fig.623.1101.peg.1090	0.1952896636411872	POS
fig.623.1101.peg.3538	0.16750126248739067	POS
fig.623.1101.peg.1633	0.15994612970973845	NEG
fig.623.1294.peg.4762	0.15200782415433325	POS
fig.623.1289.peg.4140	0.11974644906137058	POS
fig.623.1404.peg.4092	0.11927151981282852	POS
fig.623.1101.peg.738	0.11630571099162483	POS
fig.623.1284.peg.2249	0.11422879031797484	NEG
fig.623.1277.peg.1879	0.09741491257814601	NEG
fig.623.1101.peg.3099	0.09114604536291471	POS
fig.623.1101.peg.1653	0.07768679181328922	NEG
fig.623.1352.peg.4501	0.05903684238429662	POS
fig.623.1101.peg.1405	0.05521640399586023	NEG
fig.623.1281.peg.3244	0.040046974942786806	POS
fig.623.1303.peg.1981	0.03619666686356149	POS
fig.623.1101.peg.4885	0.027972352664725336	POS
fig.623.1285.peg.4684	0.02491690752247184	NEG
fig.623.1323.peg.2117	0.024884177734380952	POS
fig.623.1299.peg.4388	0.020640208007094842	POS
fig.623.1342.peg.257	0.018328336217588618	POS
fig.623.1101.peg.2864	0.012679928793789966	NEG
fig.623.1101.peg.1636	0.0021801248016191264	NEG
fig.623.1358.peg.2507	4.800504727639817e-4	POS
fig.623.1101.peg.3357	1.0416122663287399e-4	POS
fig.623.1342.peg.265	9.12323445006219e-5	POS
fig.623.1297.peg.528	6.929452237936136e-5	NEG
