Variable	Importance	Sign
group_771.group_2446.group_8320	3.4739509940770876	NEG
group_1100.group_2018.group_7360	0.9122361996017577	POS
group_4223.group_7588.group_3956	0.6077629834216907	NEG
group_3597.group_7554.group_8004	0.5908901688314068	NEG
group_4685.group_8327.group_8355	0.46960975461829924	NEG
group_5066.group_4185.group_8468	0.41527461399656407	NEG
group_7554.group_3597.group_8048	0.38463107614551134	NEG
group_8216.group_8242.group_7428	0.32707500192470296	POS
group_1183.group_5392.group_6647	0.30121128260508934	NEG
group_1676.group_2326.group_5604	0.2845863509935911	NEG
group_5933.group_3320.group_8251	0.2623322967821804	NEG
group_7778.group_6053.group_7779	0.2241440686380525	NEG
group_6468.group_4685.group_6469	0.1742336902640319	POS
group_5259.group_8479.group_5461	0.10942804466200123	NEG
group_7482.group_4223.group_7588	0.10678179466683214	NEG
group_4328.group_4199.group_5315	0.08035624608500132	POS
group_3820.group_2216.group_5546	0.06655446592220285	NEG
group_2011.group_3445.group_7360	0.05505936735744151	POS
group_7798.group_5562.group_8468	0.03935102330851606	NEG
group_4790.group_7667.group_2007	0.029857352131585316	NEG
group_771.group_1457.group_8320	0.028615350109746276	NEG
group_7594.group_8473.group_8492	0.025423922513523902	NEG
group_4272.group_697.group_4460	0.016443373683122185	NEG
group_8320.group_8237.group_8372	0.003949733406237241	NEG
group_7355.group_8002.group_120	0.0026898223185334662	NEG
group_5277.group_5687.group_6720	6.900649161713168e-5	NEG
