Variable	Importance	Sign
group_6302.group_5899.group_7346	0.25176980813129024	POS
group_4424.group_7233.group_6847	0.23771207994577034	NEG
group_2662.group_8431.group_7509	0.2104522840066052	POS
group_3070.group_5825.group_5521	0.18481673180341401	POS
group_56.group_2278.group_3928	0.18431674000783713	POS
group_6518.group_4833.group_6677	0.15650904874269803	NEG
group_6390.group_7815.group_8057	0.15436946355768782	NEG
group_6682.group_5537.group_7740	0.15280071441694312	POS
group_5718.group_6725.group_8237	0.12676000894399406	NEG
group_3376.group_5947.group_4035	0.12539028058944585	NEG
group_2530.group_4035.group_5947	0.12533189169063785	NEG
group_8154.group_8159.group_8383	0.125326043031437	NEG
group_3941.group_3484.group_2978	0.12451157513065962	POS
group_3484.group_2978.group_5799	0.12451032290112896	POS
group_294.group_4570.group_6415	0.11774079431722893	POS
group_1139.group_8327.group_8413	0.10985958794176867	POS
group_1032.group_7209.group_210	0.10960555639510176	POS
group_3471.group_3308.group_7761	0.10904552766646679	POS
group_3110.group_7496.group_3239	0.10874340608368992	POS
group_3433.group_5966.group_884	0.10763698863252552	POS
group_3433.group_5966.group_7189	0.1075808841977189	NEG
group_3538.group_884.group_5966	0.10731884218463829	POS
group_3538.group_884.group_7189	0.10681976246722671	NEG
group_7912.group_6970.group_8372	0.10507266829792672	NEG
group_4570.group_6415.group_2754	0.10407360969443781	POS
group_5448.group_7725.group_7798	0.1034420875604886	POS
group_8379.group_8434.group_6363	0.10277412065034794	POS
group_6204.group_7798.group_7725	0.10276625659351424	POS
group_5462.group_6199.group_5244	0.10013163143587957	POS
group_5057.group_6575.group_6890	0.10006688387796338	NEG
group_6607.group_7803.group_5152	0.09380563040025346	POS
group_5261.group_6829.group_6746	0.09344795489754318	POS
group_7698.group_5152.group_7803	0.093109276928689	POS
group_8149.group_8409.group_4785	0.09108816932229018	POS
group_2101.group_1139.group_8327	0.08836602907665236	POS
group_2306.group_6901.group_6452	0.08107950647843805	NEG
group_4645.group_6452.group_6901	0.08098438127271397	NEG
group_2306.group_6901.group_5368	0.08091204190449833	POS
group_5368.group_6452.group_4645	0.08048341729755588	POS
group_6877.group_6517.group_8125	0.07824179099043492	NEG
group_4824.group_800.group_6302	0.07795012884351374	NEG
group_6575.group_6574.group_7840	0.07724205432428846	POS
group_5057.group_6575.group_6574	0.07715269575421889	POS
group_3131.group_5852.group_7751	0.07587032080376038	POS
group_3376.group_8307.group_6980	0.07557680984007517	POS
group_6970.group_8372.group_8237	0.07550567078351338	NEG
group_3376.group_8307.group_8335	0.07547651370262057	POS
group_6980.group_8307.group_8308	0.07500856147560506	POS
group_8308.group_8307.group_8335	0.07478387628362633	POS
group_6725.group_8237.group_8372	0.06630178885551669	NEG
group_5385.group_1257.group_6895	0.06353088065234139	POS
group_3348.group_8180.group_4455	0.060281229985522426	POS
group_6725.group_5718.group_8483	0.05966049863057348	NEG
group_6607.group_7803.group_7802	0.05877600291331668	NEG
group_5345.group_5346.group_6641	0.05490077173070793	NEG
group_7334.group_8309.group_8310	0.05476799171572255	POS
group_7791.group_8309.group_8310	0.05438806357173037	POS
group_6726.group_8463.group_8464	0.05423817759031513	NEG
group_1069.group_6364.group_6158	0.054182576857500026	POS
group_142.group_7072.group_6715	0.051302031793055015	NEG
group_4136.group_142.group_6715	0.05117308597797604	POS
group_4136.group_142.group_7072	0.05115366096982366	NEG
group_3898.group_7394.group_8223	0.05088291949681359	POS
group_1271.group_1479.group_4339	0.0498205622990728	POS
group_980.group_1271.group_1479	0.04967236998815076	POS
group_1845.group_1991.group_5345	0.04959249928265116	NEG
group_2120.group_800.group_4824	0.0494033802872726	POS
group_5019.group_8055.group_7757	0.049225778968689404	POS
group_5019.group_8391.group_8392	0.04886356162445956	POS
group_7484.group_8019.group_1125	0.04864356285933043	POS
group_2140.group_5425.group_4788	0.04742494013687012	NEG
group_6847.group_8464.group_8463	0.047327849775239614	NEG
group_1768.group_8294.group_8295	0.04709248965494398	POS
group_6793.group_8366.group_8489	0.04696111158448088	POS
group_3855.group_7297.group_7991	0.04684612526876838	POS
group_3666.group_8121.group_2125	0.046836532435593506	POS
group_3788.group_7577.group_7581	0.046805763194810196	POS
group_2998.group_3788.group_7577	0.046752801229164614	POS
group_7296.group_7991.group_7297	0.046563408332856694	POS
group_5659.group_8291.group_8292	0.04650926788754842	POS
group_7438.group_8285.group_8288	0.04632554111739585	POS
group_7992.group_8079.group_8241	0.04624057275346471	POS
group_8079.group_8241.group_8255	0.04609352864141711	POS
group_8273.group_8280.group_2579	0.046029658812597594	POS
group_8289.group_8290.group_5659	0.04590002516601939	POS
group_8292.group_8293.group_1768	0.04577452130775316	POS
group_5152.group_7802.group_7803	0.04573260655653256	NEG
group_8295.group_8296.group_7212	0.045644520701236445	POS
group_7698.group_5152.group_7802	0.04546683042763007	NEG
group_7441.group_8014.group_8087	0.04515904218773224	NEG
group_6990.group_8381.group_8382	0.04405535524150911	POS
group_5658.group_2641.group_7522	0.04332157012685946	POS
group_8138.group_8409.group_8149	0.043015395685895075	POS
group_1139.group_8327.group_7704	0.04232543506054798	POS
group_6746.group_6829.group_6830	0.04232208986590792	NEG
group_4685.group_8327.group_1139	0.04171100845362598	POS
group_6547.group_6943.group_8133	0.04095690992772827	NEG
group_4509.group_7632.group_7912	0.03952083958202016	NEG
group_6970.group_7912.group_7632	0.0394408422285598	NEG
